NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
10,0.89,0,0,69.5,0,1
10,2.54,0,0,39,0,1
10,0.01,0,0,63.5,0,1
10,1.11,0,0,66,0,1
10,0,0,0,58,0,0
10,0,0,0,69.5,0,1
10,1.12,0,0,64.5,0,0
10,0,0,0,81,1,1
10,0.02,0,0,59.5,0,0
10,0.33,0,0,60,0,1
10,0,0,0,66.5,0,1
10,0,0,0,65,0,1
10,0.11,0,0,79,0,0
10,0,0,0,38.5,0,1
10,0,1.2,0,16,0,1
10,0,0,0,73.5,0,1
10,0.06,0,0,67,0,1
10,0.16,0,0,44.5,0,1
10,0.26,16.9,0,39.5,0,1
10,0,0,0,73,0,0
10,0,0,0,71,0,1
10,0,0,0,50,0,0
10,0.35,0,0,74,0,1
10,0,0,0,69.5,0,1
10,0,7.9,0,14.5,0,1
10,0,0,0,70,0,1
10,0,5.1,0,36,0,0
10,0.2,0,0,43.5,0,1
10,0.03,0,0,47.5,0,1
10,0.26,0,0,63.5,0,0
